"TID","IT"
"TID_INVALID_PLACEMENT","Non puoi schierare truppe nella zona rossa"
"TID_ALL_TROOPS_USED","Hai schierato tutte le truppe"
"TID_OTHER_TROOP_LEFT","Seleziona un'altra unità"
"TID_DIAMONDS","Gemme"
"TID_GOLD","Oro"
"TID_ELIXIR","Elisir"
"TID_ITEM_LEVEL","<item> (liv. <number>)"
"TID_SHOP_TITLE","Negozio"
"TID_ITEM_BROKEN","<item> (in rovina)"
"TID_BUILDING_ARCHER_TOWER","Torre dell'arciere"
"TID_BUILDING_CLASS_ARMY","Edifici dell'esercito"
"TID_BUILDING_CLASS_DEFENSE","Difese"
"TID_BUILDING_CLASS_RESOURCE","Risorse"
"TID_BUILDING_CLASS_WALL","Mura"
"TID_NOT_ENOUGH_WORKERS_HEADER","Costruttori occupati!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Vuoi completare l'incarico precedente e liberare un costruttore?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Vuoi completare l'incarico precedente e liberare il capomastro?"
"TID_NOT_ENOUGH_RESOURCE","Non hai abbastanza <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Non hai abbastanza <resource1> e <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Devi portare il tuo municipio al livello <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Devi portare la tua sala del costruttore al livello <number>!"
"TID_POPUP_UPGRADE_TITLE","Portare al livello <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Costruisci più:"
"TID_RESOURCE_CAP_FULL_GOLD","Costruisci depositi d'oro o migliora quelli esistenti!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Costruisci depositi di elisir o migliora quelli esistenti!"
"TID_RESOURCE_CAP_FULL_GENERIC","Costruisci depositi o migliora quelli esistenti!"
"TID_POPUP_FRIEND_LIST_TITLE","Amici"
"TID_POPUP_SOCIAL_LIST_TITLE","Social"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Connetti a Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Accedi a Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Caricamento lista amici..."
"TID_OBSTACLE_TOMBSTONE","Lapide"
"TID_NO_FACEBOOK_FRIENDS","Non è stato possibile trovare amici di Facebook che giocano a Clash of Clans."
"TID_ATTACK_FAIL_NO_MATCHES","Non è stato possibile trovare dei villaggi da attaccare!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Impossibile attaccare: il villaggio è già sotto attacco."
"TID_ATTACK_FAIL_TARGET_ONLINE","Impossibile attaccare: il proprietario del villaggio è online."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Non puoi attaccare i membri del tuo stesso clan."
"TID_ATTACK_FAIL_SHIELD","Impossibile attaccare: il villaggio ha uno scudo attivo."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Impossibile attaccare: la differenza di livello è maggiore di <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Impossibile attaccare questo villaggio: il livello del municipio è inferiore a <number>."
"TID_DEFAULT_VILLAGE_NAME","Villaggio di <name>"
"TID_BATTLE_LOG_TITLE","Sei sotto attacco!"
"TID_BATTLE_LOG_ITEM","<name> ti ha attaccato <time> fa."
"TID_NO_TROOPS","Devi prima addestrare delle truppe."
"TID_NO_SPELLS","Prima devi preparare degli incantesimi."
"TID_ERROR_POP_UP_BANNED_TITLE","Informazioni sull'account"
"TID_ERROR_POP_UP_BANNED","Sei stato bandito temporaneamente"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Errore di connessione"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Impossibile connettersi al server. Verifica la connessione a Internet e riprova."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Riprova"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connessione persa"
"TID_ERROR_POP_UP_CONNECTION_LOST","Connessione al server persa. Verifica la connessione a Internet e riprova."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Riprova"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","C'è nessuno?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","La connessione è stata interrotta per inattività."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Ricarica gioco"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Accesso non riuscito"
"TID_ERROR_POP_UP_LOGIN_FAILED","Riprova più tardi."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Riprova"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","È disponibile un aggiornamento!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Buone notizie! È disponibile una nuova versione del gioco."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Aggiorna"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Errore!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Il client e il server non sono sincronizzati! Un nuovo aggiornamento contenente correzioni di errori e miglioramenti alle prestazioni è disponibile nel tuo store di riferimento."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Ricarica gioco"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Pausa per manutenzione"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Siamo spiacenti, i server sono in manutenzione. Riprova più tardi."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Riprova"
"TID_BUILDING_ALLIANCE_CASTLE","Castello del clan"
"TID_BUILDING_ALLIANCE_MARKER","Bandiera del clan"
"TID_COMM_MAST","Torre radio"
"TID_TRAP_MINE","Bomba"
"TID_TRAP_EJECTOR","Trappola a scatto"
"TID_SHOP_GUARD_2H","Guardia di due ore"
"TID_SHOP_SHIELD_1D","Scudo per 1 giorno"
"TID_SHOP_SHIELD_2D","Scudo per 2 giorni"
"TID_SHOP_SHIELD_7D","Scudo settimanale"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_CREATE_ALLIANCE_BUTTON","Crea"
"TID_LEAVE_ALLIANCE_BUTTON","Abbandona"
"TID_JOIN_ALLIANCE_TAB","Unisciti al clan"
"TID_CREATE_ALLIANCE_TAB","Crea clan"
"TID_MY_ALLIANCE_TAB","Il mio clan"
"TID_ALLIANCE_BUTTON_EDIT","Modifica"
"TID_ALLIANCE_CREATE_NAME","Nome clan:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Descrizione:"
"TID_ALLIANCE_CREATE_BADGE","Badge:"
"TID_ALLIANCE_CREATE_TYPE","Tipo di clan:"
"TID_ALLIANCE_BADGE_BROWSE","Sfoglia"
"TID_ALLIANCE_TYPE_OPEN","Aperto"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Solo su invito"
"TID_ALLIANCE_TYPE_CLOSED","Chiuso"
"TID_TOO_SHORT_ALLIANCE_NAME","Il nome del clan è troppo corto!"
"TID_BACK_BUTTON","Indietro"
"TID_ALLIANCE_SELECT_BADGE","Modifica badge del clan"
"TID_ALLIANCE_JOIN_BUTTON","Unisciti"
"TID_ALLIANCE_JOIN_OK","Ora fai parte del clan <name>!"
"TID_ALLIANCE_CREATE_OK","Hai fondato un nuovo clan!"
"TID_ALLIANCE_BUTTON_LEAVE","Abbandona"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Abbandonare il clan?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Vuoi veramente andartene?"
"TID_ALLIANCE_ROLE_ADMIN","Anziano"
"TID_ALLIANCE_ROLE_LEADER","Capo"
"TID_ALLIANCE_ROLE_MEMBER","Recluta"
"TID_ALLIANCE_PROMOTE_BUTTON","Promuovi a <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Retrocedi a <role>"
"TID_ALLIANCE_ACCEPTED_BY","Accettato da <name>"
"TID_ALLIANCE_REJECTED_BY","Rifiutato da <name>"
"TID_ALLIANCE_REQUEST_SENT","Richiesta inviata!"
"TID_ALLIANCE_INVITATION_OK","Invito spedito."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Impossibile invitare, il giocatore non ha un castello del clan!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Il giocatore si è già unito a un clan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Hai già invitato questo giocatore!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Ehi, mi piacerebbe entrare in questo clan"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Accettare la richiesta?"
"TID_KICK_OUT_FROM_ALLIANCE","Espelli"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Vuoi dimetterti?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Vuoi nominare <name> nuovo Capo?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Promuovere?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Vuoi promuovere <name> ad anziano del clan?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Retrocedere?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Vuoi retrocedere <name> a recluta del clan?"
"TID_VISIT_BUTTON","Visita"
"TID_VIEW_PROFILE_BUTTON","Profilo"
"TID_INVITE_BUTTON","Invita"
"TID_VIEW_ALLIANCE","Visualizza clan"
"TID_SETTINGS_LANGUAGE","Lingua"
"TID_SAVE_ALLIANCE_SETTINGS","Salva"
"TID_STREAM_DONATE_TEXT","ha bisogno di rinforzi"
"TID_STREAM_DONATE_BUTTON","Dona"
"TID_ALLIANCE_DONATE_HEADER","Dona rinforzi"
"TID_BUTTON_REQUEST_TROOPS","Richiedi"
"TID_TROOP_REQUEST_SENT","Richiesta inviata."
"TID_ALLIANCE_STREAM_THANKS","Grazie per i rinforzi!"
"TID_ALLIANCE_TROOP_RECEIVED","Hai ricevuto \q<troop>\q di livello <level> da <avatar>!"
"TID_BARBARIAN","Barbaro"
"TID_ARCHER","Arciere"
"TID_GIANT","Gigante"
"TID_DRAGON","Drago"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Goblin"
"TID_WALL_BREAKER","Spaccamuro"
"TID_GOBLIN_BALLOON","Mongolfiera"
"TID_HEALER","Guaritore"
"TID_WIZARD","Stregone"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Il castello del clan è pieno!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Devi aspettare prima di richiedere altri rinforzi."
"TID_ALLIANCE_STREAM_REWARD","Hai ricevuto <number> XP"
"TID_HOUSING_TROOPS_INSIDE","Tutte le truppe:"
"TID_UNIT_STORAGE_CAPACITY","Capacità truppe: <number>"
"TID_REGENERATION_TIME","Tempo di rigenerazione: <number> minuti"
"TID_HITPOINTS","Punti ferita: <number>"
"TID_DPS","Danni al secondo: <number>"
"TID_BURST_SIZE","Raffica: <number> colpi"
"TID_HEAL","Cura: <number>"
"TID_TRAIN_COST","Costo addestramento: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Capienza: <number>"
"TID_PRODUCTION_RATE","Ritmo produttivo: <number> all'ora"
"TID_PRODUCTION_CAPACITY","Capacità: <number>"
"TID_TRAINING_TIME","Tempo di addestramento: <number>"
"TID_TRAINING_TIME_REDUCTION","Riduzione tempo di addestramento: <number>"
"TID_HOUSING_INFO","Le tue truppe stazionano negli accampamenti. Costruiscine altri e migliorali per assemblare un esercito potente."
"TID_TOWN_HALL_INFO","Questo è il cuore del tuo villaggio. Aumentando il livello del municipio sbloccherai nuovi edifici, difese, trappole e molto altro ancora.\nDistruggendo il municipio di un avversario vincerai la battaglia e guadagnerai una stella. Distruggendo il 50% degli edifici nemici otterrai una seconda stella, mentre la distruzione del 100% ti farà guadagnare tre stelle.\nAttenzione: anche i nemici proveranno a distruggere il tuo municipio!\nPer proteggerlo nel migliore dei modi, fai in modo che si trovi al centro del villaggio e proteggilo con mura, trappole ed edifici difensivi. I nemici sono furbi e possono attaccare da qualunque lato!"
"TID_ELIXIR_PUMP_INFO","L'elisir è estratto dalle falde sotterranee presenti sotto il tuo villaggio. Migliora i tuoi estrattori di elisir per massimizzarne la produzione."
"TID_ELIXIR_STORAGE_INFO","Questi depositi contengono l'elisir pompato dal sottosuolo. Migliorali per aumentare la quantità massima di elisir che puoi conservare."
"TID_GOLD_MINE_INFO","La miniera d'oro produce oro. Migliorala per aumentare la produzione e la quantità di oro conservato."
"TID_GOLD_STORAGE_INFO","Tutto il tuo oro è conservato qui. Non lasciar avvicinare i goblin! Migliora il deposito per aumentarne la capienza e la resistenza agli attacchi."
"TID_BARRACK_INFO","La caserma ti permette di addestrare le truppe per attaccare i tuoi nemici. Migliorala per sbloccare unità avanzate in grado di vincere battaglie epiche."
"TID_BASIC_TURRET_INFO","I cannoni sono ottimi per difendere punti strategici. Migliorali per aumentarne la potenza di fuoco, ma ricordati che le torrette difensive non possono sparare mentre il miglioramento è in corso."
"TID_ARCHER_TOWER_INFO","Le torri degli arcieri hanno una gittata maggiore dei cannoni e possono attaccare anche i nemici volanti."
"TID_WIZARD_TOWER_INFO","La difesa arcana definitiva! Le torri dello stregone lanciano potenti incantesimi ad area che colpiscono sia le truppe volanti che quelle di terra."
"TID_TESLA_TOWER_INFO","Tendi una trappola mortale con la Tesla occulta! I nostri stregoni hanno intrappolato una tempesta in ognuna di queste insidiose torri. Quando un nemico è abbastanza vicino, la torre scatta e lo frigge grazie al potere dell'Elettrotranello!"
"TID_AIR_DEFENSE_INFO","Questa torre antiaerea è letale contro i nemici volanti, ma non può colpire i nemici a terra. Posizionala con attenzione in modo da coprire uno spazio aereo il più ampio possibile."
"TID_MORTAR_INFO","Il mortaio può abbattere orde di nemici grazie all'effetto che i suoi proiettili hanno sull'area circostante. Non lasciare che i nemici si avvicinino."
"TID_ALLIANCE_CASTLE_INFO","Il castello del clan ora ospita la tesoreria e tutte le truppe e gli incantesimi donati dai membri del tuo clan."
"TID_WORKER_INFO","Qui non si va avanti senza costruttori! Puoi assumere più costruttori per iniziare più lavori contemporaneamente o velocizzare le operazioni usando gemme."
"TID_LABORATORY_INFO","Quali oscuri segreti nascondono gli stregoni all'interno del loro laboratorio? Nessuno ha avuto il coraggio di scoprirlo. Tutto quello che sappiamo è che la loro ricerca rende incantesimi e truppe migliori più potenti, più veloci e più resistenti!"
"TID_STREAM_SENDER_YOU","Tu"
"TID_SHIELD_ACTIVATED","Scudo dell'avversario attivato per <hours> ore"
"TID_STREAM_ENTRY_AGE","<time> fa"
"TID_UPGRADE_WINDOW_NOTE","Attenzione!"
"TID_OBSTACLE_CLEAR_TIME","Tempo rimozione"
"TID_UPGRADE_TIME","Tempo miglioramento"
"TID_BUILD_TIME","Tempo costruzione"
"TID_GEAR_UP_TIME","Tempo perfezionamento"
"TID_UNLOCK_BUILDINGS","Sblocca gli edifici:"
"TID_REQUIRED_EXP_LEVEL","Richiede esperienza di livello <number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","Richiede municipio di livello <number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","È necessaria una sala del costruttore di livello <number>"
"TID_REQUIRED_CASTLE_LEVEL","Richiede castello di livello <number>"
"TID_REQUIRED_BARRACK_LEVEL","Richiede caserma di livello <number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Richiede caserma nera di livello <number>"
"TID_REQUIRED_LABORATORY_LEVEL","Richiede laboratorio di livello <number>"
"TID_INFO_PREFERRED_TARGET","Bersaglio preferito:"
"TID_PREFERRED_TARGET_ANY","Qualsiasi"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Danno x<number>)"
"TID_INFO_TARGET_TYPE","Bersagli:"
"TID_INFO_DAMAGE_TYPE","Tipo di danno:"
"TID_INFO_HEAL_TYPE","Tipo di guarigione:"
"TID_INFO_HOUSING","Spazio richiesto:"
"TID_INFO_TRAINING_TIME","Tempo addestramento:"
"TID_INFO_RANGE","Distanza:"
"TID_INFO_TARGET_TYPE_GROUND","Terra"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Terra e aria"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Terra o aria"
"TID_INFO_TARGET_TYPE_AIR","Aria"
"TID_INFO_DAMAGE_TYPE_AOE","Ad area"
"TID_INFO_DAMAGE_TYPE_SINGLE","Bersaglio singolo"
"TID_INFO_RANGE_VALUE","<number> caselle"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item>: miglioramento al livello <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item>: costruzione completata"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Bonus stella disponibile! È il momento di combattere!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Capo, il nostro scudo si è esaurito!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Ops, hai dimenticato di addestrare il tuo esercito?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Ops, hai dimenticato di preparare i tuoi incantesimi?"
"TID_NEW","Nuovo"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Interruzione della costruzione"
"TID_POPUP_CANCEL_CONSTRUCTION","Vuoi davvero interrompere la costruzione di \q<item>\q? Solo il <number>% del costo sarà rimborsato."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Interruzione del miglioramento"
"TID_POPUP_CANCEL_UPGRADE","Vuoi davvero interrompere il miglioramento di \q<item>\q? Solo il <number>% del costo sarà rimborsato."
"TID_POPUP_CANCEL_CLEAR_TITLE","Interruzione della rimozione"
"TID_POPUP_CANCEL_CLEAR","Vuoi davvero interrompere la rimozione di \q<item>\q?"
"TID_ALLIANCE_LEADERBOARDS","Migliori clan"
"TID_PLAYER_LEADERBOARDS","Migliori giocatori"
"TID_AVAILABLE_LOOT","Bottino disponibile:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Attacca"
"TID_ALLIANCE_SNEAK_PREVIEW","Puoi sbloccare i clan ricostruendo il castello del clan!\n\nI membri del clan si aiutano a vicenda, inviandosi truppe e incantesimi di rinforzo."
"TID_BUILD_TIME_INSTANT","Zero"
"TID_BUILDING_CAP_REACHED","Hai già costruito il numero massimo di edifici di questo tipo."
"TID_DIAMONDS_FOUND","Hai trovato <number> gemme in: <name>!"
"TID_DIAMOND_FOUND","Hai trovato una gemma in: <name>!"
"TID_SHOP_CATEGORY_DECOS","Decorazioni"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Risorse"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Esercito"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Difese"
"TID_SHOP_CATEGORY_TREASURE","Tesoro"
"TID_SHOP_CATEGORY_SHIELD","Scudo"
"TID_SHOP_CATEGORY_BUILDERS","Costruttori"
"TID_SHOP_CATEGORY_SPELLS","Incantesimi"
"TID_SHOP_CATEGORY_TROOPS","Truppe"
"TID_TRAINING_WARRIORS","Guerrieri:"
"TID_TRAINING_SLOTS","Spazi addestramento:"
"TID_TOTAL_TRAINING_TIME","Tempo totale:"
"TID_FINISH_BUTTON","Completa"
"TID_TROOP_TRAINING_MAX","Massimo"
"TID_UNCLOK_FROM_LABORATORY","Sblocca nel laboratorio"
"TID_NOT_ENOUGH_HOUSING_SPACE","Non hai abbastanza spazio negli accampamenti!"
"TID_UNLOCK_BUILDING_MULTIPLE","Sblocca:"
"TID_UNLOCK_BARRACK_TROOP","Sblocca <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Riduce il tempo di addestramento per:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Nuovo tempo di addestramento: <num2>"
"TID_BUILDING_TEXT_FULL","Pieno!"
"TID_BUILDING_TEXT_TRAIN","Addestra"
"TID_TRAINING_SLOT_STOPPED","Interrotto!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Tutti gli accampamenti sono pieni."
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Migliora o costruisci degli accampamenti per alloggiare più truppe, oppure mandale in guerra!"
"TID_BUTTON_FIGHT","Inizio!"
"TID_BATTLE_START_TIME","La battaglia inizia tra:"
"TID_NEXT_MATCH","Avanti"
"TID_END_BATTLE_BUTTON","Termina battaglia"
"TID_SURRENDER_BUTTON","Resa"
"TID_TROOP_UPGRADE_TIME","Tempo totale:"
"TID_MAX_TROOP_LEVEL","Liv. massimo"
"TID_LEVEL_NUM","Livello <number>"
"TID_BUTTON_UPGRADE_TROOPS","Ricerca"
"TID_POPUP_UPGRADE_TROOP_TITLE","Scegli che cosa migliorare"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","L'unità è già al livello massimo!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Un miglioramento è già in corso."
"TID_TROOP_UPGRADE_COMPLETED","Miglioramento completato: <item> liv. <number>"
"TID_UNITS_LEFT","<number> rimanenti"
"TID_PLAYER_ATTACKING_YOU","Giocatori che ti attaccano:"
"TID_LOOT","Hai perso delle risorse:"
"TID_OUTCOME","Risultato:"
"TID_YOU_LOST","La tua difesa ha perso"
"TID_YOU_WIN","La tua difesa ha vinto"
"TID_REVENGE","Vendetta"
"TID_JOINQUESTION","Vuoi unirti?"
"TID_TAP_TO_EXPAND","Tocca per espandere"
"TID_BUY_MISSING_RESOURCES_HEADER","Ti serve più <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Vuoi acquistare le <count> unità di <resource> mancanti?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Hai bisogno di più risorse"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Acquistare <count> <resource> e <count2> <resource2> mancanti?"
"TID_BUY_RESOURCE_PACK_HEADER","Acquistare <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Vuoi davvero acquistare <count> <resource>?"
"TID_BUY_GUARD_HEADER","Acquistare guardia?"
"TID_BUY_SHIELD_HEADER","Acquistare scudo?"
"TID_BUY_SHIELD_TEXT","Vuoi davvero acquistare <name>?"
"TID_RESOURCE_PACK_LOCKED","Non c'è abbastanza spazio!"
"TID_STAR1","Eccellente!"
"TID_STAR2","Ottimo!"
"TID_STAR3","Perfetto!"
"TID_OVERALL_DAMAGE","Danno complessivo"
"TID_VILLAGE_GUARD_TITLE","Guardia:"
"TID_SHIELD_TITLE","Scudo:"
"TID_SHIELD_NONE","Nessuno"
"TID_BATTLE_LOG","Registro battaglie"
"TID_BATTLE_INBOX","In arrivo"
"TID_VICTORY","Vittoria"
"TID_DEFEAT","Sconfitta"
"TID_WHAT_YOU_GOT","Ricevi:"
"TID_TROOPS_USED","Truppe utilizzate:"
"TID_TOTAL_DAMAGE","Danno totale:"
"TID_SCORE","Punteggio"
"TID_YOU_HAVE_BEEN_ATTACKED","Capo, il nostro villaggio è stato attaccato!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Incursione del nemico"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Capo, il villaggio è stato attaccato mentre non c'eri!"
"TID_TUTORIAL_CANNON_1","Salve, capo! Ti stavamo aspettando."
"TID_TUTORIAL_CANNON_2","Questo è il nostro nuovo villaggio. La vita qui sarebbe perfetta, se non fosse per..."
"TID_TUTORIAL_CANNON_3","Oh no, i GOBLIN! Prepara subito un cannone per difendere il villaggio!"
"TID_TUTORIAL_CANNON_4","Posiziona il cannone nel villaggio. Dobbiamo proteggere il municipio!"
"TID_TUTORIAL_CANNON_5","Puoi spendere qualche gemma per velocizzare un po' le operazioni!"
"TID_TUTORIAL_DEFEND_1","Grrr! Goblin, ATTACCATE!"
"TID_TUTORIAL_DEFEND_1b","Gahaah, e questo chi è? Un altro umano insignificante?"
"TID_TUTORIAL_DEFEND_2","Fiuuu, c'è mancato poco. Grazie, capo!"
"TID_TUTORIAL_DEFEND_4","Il villaggio si trova su una falda magica, quindi gli edifici si ripareranno da soli!"
"TID_TUTORIAL_DEFEND_5","Gharh, ORO! Noi goblin adoriamo l'oro!"
"TID_TUTORIAL_DEFEND_BUTTON","Avanti!"
"TID_TUTORIAL_WORKER_1","Wow, bella partenza! Adesso dobbiamo preparare il villaggio per le battaglie."
"TID_TUTORIAL_WORKER_2","Assumendo un altro costruttore potrai avviare due costruzioni contemporaneamente."
